raw_source_url,raw_title,is_allegation,market_question,ts_lower,ts_upper,size_usd_approx,wallet_addr,direction,outcome_resolved,confidence_tier,quote,reasoning
https://www.npr.org/2026/01/05/nx-s1-5667232/polymarket-maduro-bet-insider-trading,"A $400,000 profit on Maduro's capture raises insider trading questions on Polymarket",True,Will Nicolás Maduro be toppled/captured by end of January 2026?,2026-01-04T00:00Z,2026-01-05T00:00Z,400000.0,,YES,YES,T1,"a user wagered $32,000 that Maduro would be toppled by the end of January hours before Trump ordered the operation. When it was clear the U.S. had captured Maduro, the trader made more than $400,000 in profit.","NPR (high-credibility journalism outlet) explicitly documents a specific suspicious trade: $32,000 wagered hours before a classified military operation, yielding $400,000 profit. The account 'Burdensome-Mix' and timing of the bet relative to the public announcement constitute a concrete allegation of potential insider trading, though NPR notes the identity remains unconfirmed."
https://fortune.com/2026/01/05/polymarket-user-400k-maduro-capture-bets-insider-trading-suspicion/,"One Polymarket user made more than $400,000 in profits betting on Maduro's capture",True,"Will Nicolas Maduro exit office by January 31, 2026?",2026-01-02T00:00Z,2026-01-03T23:59Z,30000.0,,YES,YES,T1,"one Polymarket account invested over $30,000 on Maduro's exit by Jan. 31, 2026. When U.S. forces seized the Venezuelan leader...the user netted $436,759.61, translating to a profit of more than $400,000.","Fortune (credible news outlet) reports a specific Polymarket account's $30K+ bet on Maduro's capture placed within 24 hours of a U.S. military operation, with $436K profit and suspicious timing (account created days before, low prior odds of 5.5%). The allegation explicitly frames the trade timing relative to the non-public military operation as raising insider-trading concerns."
https://fortune.com/2026/01/12/polymarket-kalshi-insider-trading-prediction-markets-cftc-torres-titus-venezuela/,"Anonymous Polymarket trader made $400,000 betting on Maduro's downfall",True,Will Nicolás Maduro leave office before the end of January 2026?,2026-01-03T00:00Z,2026-01-03T23:59Z,400000.0,,YES,YES,T1,"the user Burdensome-Mix, had taken a massive position on Maduro leaving office...had become the largest holder of 'yes' contracts...well before the news of the raid reached the public. The user ended up making over $400,000","Fortune's reporting (T1 source) documents a specific trade: the account 'Burdensome-Mix' bet $400K on YES for Maduro's removal, created one week prior to Jan 3, and profited before the public learned of the capture. Political researcher Tyson Brody identified the suspicious timing, establishing a documented pattern of pre-event movement."
https://www.aljazeera.com/news/2026/3/25/large-polymarket-wall-street-bets-on-trumps-war-news-under-scrutiny,"Large Polymarket, Wall Street bets on Trump's war news under scrutiny",True,"Will there be US-Israeli strikes on Iran on February 28, 2026?",2026-02-22T00:00Z,2026-02-28T00:00Z,2000000.0,,YES,YES,T1,38 accounts that he believes belong to one person and netted more than $2m betting correctly on the February 28 strikes... cryptocurrency transfers on February 22 before bets were placed on February 27 between 11:00 and 12:00 GMT,"Al Jazeera (credible news outlet) explicitly attributes to on-chain analyst Andrew 10 GWEI a documented case of 38 linked accounts making ~$2m in coordinated bets on Feb 27 (11:00–12:00 GMT) for Feb 28 strikes, with suspicious wallet preparation on Feb 22, achieving ~100% success rate—a concrete pattern meeting high-credibility attribution standards."
https://qz.com/polymarket-iran-strike-insider-bet-prediction-markets,Polymarket and the rise of a new kind of insider trading,True,Will the U.S. conduct strikes against Iran?,2025-03-25T00:00Z,2025-03-25T01:11Z,87000.0,,YES,YES,T1,"An account called ""Magamyman"" placed an $87,000 bet on U.S. strikes against Iran roughly 71 minutes before news of the attacks broke publicly. The odds at the time sat at 17%. By the time the smoke cleared over Tehran, the position had turned into more than $553,000.","A reputable news outlet (Quartz) explicitly identifies a specific account ('Magamyman'), a concrete bet size ($87,000), precise timing (71 minutes before public news), and outcome (turned into $553,000), framed as suspicious insider trading. The article cites blockchain analytics firm Bubblemaps and documents at least six suspicious trades totaling $1.2M, meeting T1 criteria for journalist-reported specific allegations."
https://time.com/article/2026/04/10/white-house-oil-prediction-markets-polymarket-bets-insider-trading-war/,White House Reportedly Warns Staff Against Insider Trading on Prediction Markets,True,Will the U.S. and Iran agree to a cease-fire?,2025-04-07T00:00Z,2025-04-07T18:30Z,500000.0,,YES,YES,T1,"On April 7, at least 50 newly created Polymarket accounts placed substantial bets that the U.S. and Iran would agree to a cease-fire shortly before Trump announced the deal on Truth Social at around 6:30 p.m. E.T. The bets, which generated hundreds of thousands of dollars in profit...","TIME article (high-credibility journalism outlet) documents a specific suspicious trade: 50 newly created accounts betting YES on Iran cease-fire on April 7, hours before Trump's 6:30 p.m. announcement, generating hundreds of thousands in profit. This meets T1 criteria (journalist-identified specific trade with timing, direction, and outcome)."
https://www.bitget.com/amp/news/detail/12560605226286,Whale Wallets Raise Insider Trading Doubts on Polymarket After Axiom Probe,True,Axiom-related prediction market (specific question not named in article),2025-01-01T00:00:00Z,2025-02-27T23:59:59Z,1200000.0,,,,T1,"Defioasis observed, 'There are strong indicators that three addresses—each exclusively trading this market and making upwards of $100,000—were acting with inside knowledge.' The eight addresses with the largest profits amassed $1.2 million.","This is a credible news report (Bitget/Cointurk) citing blockchain researcher Defioasis and detective ZachXBT's documented investigation into specific wallets that allegedly profited from insider knowledge on a Polymarket. The article identifies concrete suspicious trading patterns (eight wallets, $1.2M in profits, three wallets exclusively trading one market with $100K+ each) tied to Axiom staff member Broox Bauer and associates trading on confidential information through early 2025."
https://newrepublic.com/post/204885/insider-trading-trump-attack-venezuela-maduro-polymarket,Was Someone Insider Trading Right Before Trump's Attack on Venezuela?,True,Will the U.S. invade Venezuela? / Will Nicolás Maduro be forced out of leadership by January 31?,2025-12-27T00:00Z,2026-01-03T07:00Z,35000.0,,YES,YES,T1,"A suspicious new user on the prediction market Polymarket just made bank on the Trump administration's military strikes on Venezuela. The account, which was created on December 27, has only bet on two things: the U.S. invading Venezuela...The user bet $35,000 when the market estimated the probability of intervention in Venezuela at only 6 percent. Thanks to their very lucky bets, they made over $400,000 in less than a day.","This is a journalist-authored news article (The New Republic, byline Adrienne Mahsa Varkiani) that explicitly identifies a specific suspicious Polymarket account with concrete details: creation date (Dec 27), bet size ($35K), market questions (Venezuela invasion and Maduro removal), odds at time of bet (6%), and profits ($400K+). The article directly alleges the account holder had non-public information about Trump's military strike, citing reporting that U.S. military officials discussed the attack on Christmas Day but kept it from media—yet someone leaked it to Polymarket."
https://markets.financialcontent.com/stocks/article/predictstreet-2026-2-5-the-maduro-whale-inside-the-400000-trade-that-sparked-a-washington-firestorm,"The Maduro Whale: Inside the $400,000 Trade",True,"Will Nicolás Maduro be out of power by January 31, 2026?",2026-01-03T00:00:00Z,2026-01-03T04:21:00Z,32537.0,,YES,YES,T1,"An account using the handle ""Burdensome-Mix"" began vacuuming up ""Yes"" shares. According to on-chain data, the user deployed approximately $32,537 across several hours... just as U.S. forces were descending on Maduro's compound in Caracas.","A news outlet (PredictStreet via FinancialContent) documents a specific suspicious trade with concrete details: named account handle, precise USD size (~$32.5K), market question, timing (hours before public announcement), and direction (YES). The article explicitly frames this as potential insider trading based on the timing's coincidence with classified military operations, meeting the threshold for a T1 journalistic allegation."
https://markets.financialcontent.com/stocks/article/predictstreet-2026-1-17-the-400000-maduro-snatch-and-extract-payout-prediction-markets-face-an-existential-insider-trading-crisis,"The $400,000 Maduro Snatch-and-Extract Payout",True,"Maduro out of power by January 31, 2026",2026-01-03T00:00Z,2026-01-03T12:00Z,32000.0,,YES,YES,T1,"Just hours before the first official confirmation of the raid hit the news wires, an anonymous trader on Polymarket placed a series of aggressive bets totaling $32,000 on Maduro's departure... that trader walked away with over $400,000","A credible news outlet (FinancialContent/PredictStreet) explicitly identifies a specific suspicious trade: $32,000 bet placed hours before Operation Absolute Resolve was publicly confirmed, yielding $400K profit. The trade's timing (3 hours before helicopters spotted), account newness (no prior history), and outcome (Maduro removed) constitute a documented pattern of alleged insider trading with congressional investigation and legislative response, meeting T1 standards for journalist-reported specific allegations."
